Andres;Iniesta;Spain, Barcelona;2017-01-01;2017-05-25
Lionel;Messi;Spain, Barcelona;2017-01-01;2017-05-25
Neymar;Da Silva Jr.;Spain, Barcelona;2017-01-01;2017-05-25
James;Rodriguez;Spain, Madrid;2017-01-01;2017-05-25
Cristiano;Ronaldo;Spain, Madrid;2017-01-01;2017-05-25
Andre;Gomes;Spain, Barcelona;2017-01-01;2017-05-25
Luis;Suarez;Spain, Madrid;2017-01-01;2017-05-25
Gerard;Pique;Spain, Barcelona;2017-01-01;2017-05-25
Jordi;Alba;Spain, Barcelona;2017-01-01;2017-05-25
Aleix;Vidal;Spain, Barcelona;2017-01-01;2017-05-25
Serigo;Busquets;Spain, Barcelona;2017-01-01;2017-05-25
Ivan;Rakitic;Spain, Barcelona;2017-01-01;2017-05-25
Antoine;Greizmann;Spain, Madrid;2017-01-01;2017-05-25
Saul;Niguez;Spain, Madrid;2017-01-01;2017-05-25
Arda;Turan;Spain, Barcelona;2017-01-01;2017-05-25
Jose;Rodriguez;Spain, Malaga;2017-01-01;2017-05-25
Gareth;Bale;Wales, Cardiff;2017-01-01;2017-05-25
Robert;Johanson;Norway, Stavanger;2017-01-01;2017-05-25
Anders;Fannemel;Norway, Bergen;2017-01-01;2017-05-25
Anders;Jacobsen;Norway, Kristiansand;2017-01-01;2017-05-25
Juan;Mata;England, Manchester;2017-01-01;2017-05-25
Nemanja;Matic;England, London;2017-01-01;2017-05-25
Mesut;Ozil;England, London;2017-01-01;2017-05-25
Sadio;Mane;England, Liverpool;2017-01-01;2017-05-25
